"label","new_genomes/Aameric_YS121.v1.cds.fasta","new_genomes/Abit_YS124.v1.cds.fasta","new_genomes/Cang_YS89.v1.cds.fasta","new_genomes/Ccajan.v1.cds.fasta","new_genomes/Ccin_YS129.v1.cds.fasta","new_genomes/Cens_YS85.v1.cds.fasta","new_genomes/Cmolle_YS235.v1.cds.fasta","new_genomes/Cmuc_YS125.v1.cds.fasta","new_genomes/Cros_YS43.v1.cds.fasta","new_genomes/Ctet_YS88.v1.cds.fasta","new_genomes/Duni_YS76.v1.cds.fasta","new_genomes/Eind_YS44.hap1.v1.cds.fasta","new_genomes/GmaxWm82ISU_01_724_v2.1.cds_primaryTranscriptOnly.fa","new_genomes/Gstr_YS140.v1.cds.fasta","new_genomes/HpodTM013.v1.cds.fasta","new_genomes/Isuf_YS112.v1.cds.fasta","new_genomes/Itin_YS146.v1.cds.fasta","new_genomes/Lcun_YS151.v1.cds.fasta","new_genomes/Lpur_YS149.v1.cds.fasta","new_genomes/Matro_YS75.v1.cds.fasta","new_genomes/Maxil_YS73.v1.cds.fasta","new_genomes/Mlat_YS84.v1.cds.fasta","new_genomes/Mpru_YS155.v1.cds.fasta","new_genomes/Msam_YS158.v1.cds.fasta","new_genomes/Pero_YS156.v1.cds.fasta","new_genomes/Plobssplob_YS90.hap1.v1.cds.fasta","new_genomes/Plun_YS103.v1.cds.fasta","new_genomes/Pmon_YS87.hap1.v1.cds.fasta","new_genomes/Pmonvarlob_YS172.hap1.v1.cds.fasta","new_genomes/Ptet_YS159.v1.cds.fasta","new_genomes/Rmin_YS79.v1.cds.fasta","new_genomes/Shelov_YS99.v1.cds.fasta","new_genomes/Smacrob_YS261.v1.cds.fasta","new_genomes/Tlab_YS204.v1.cds.fasta","new_genomes/Tunci_YS212.v1.cds.fasta","new_genomes/Vvexilla_YS115.hap1.v1.cds.fasta","Pvul218cds.fa","TAIR10cds.fa","Vung469cds.fa"
"Gstr_YS140.v1.contig_803_pilon.g240580.t1","1.533","1.013","1.238","0.830","0.962","0.404","0.784","1.596","0.395","0.830","0.911","0.395","0.876","","1.226","0.771","1.149","1.576","1.240","1.227","0.986","1.234","0.891","1.289","1.225","1.596","1.240","1.573","1.227","1.274","0.900","1.236","0.909","1.565","0.947","1.539","1.289","2.564","1.075"
"Eind_YS44.hap1.v1.h1tg000023l.g223640.t1","1.663","1.143","1.368","0.960","1.092","0.049","0.914","1.726","0.000","0.960","1.041","","1.006","0.636","1.356","0.901","1.279","1.706","1.370","1.357","1.116","1.364","1.021","1.419","1.355","1.726","1.370","1.703","1.357","1.404","1.030","1.366","1.040","1.695","1.077","1.669","1.419","2.694","1.205"
"Cros_YS43.v1.contig_381_pilon.g159690.t1","1.663","1.143","1.368","0.960","1.092","0.049","0.914","1.726","","0.960","1.041","0.000","1.006","0.636","1.356","0.901","1.279","1.706","1.370","1.357","1.116","1.364","1.021","1.419","1.355","1.726","1.370","1.703","1.357","1.404","1.030","1.366","1.040","1.695","1.077","1.669","1.419","2.694","1.205"
"Cens_YS85.v1.contig_638_pilon.g216270.t1","1.673","1.153","1.377","0.970","1.102","","0.924","1.735","0.049","0.970","1.051","0.049","1.015","0.645","1.366","0.911","1.288","1.716","1.380","1.366","1.126","1.373","1.031","1.428","1.364","1.735","1.380","1.713","1.366","1.414","1.040","1.375","1.049","1.704","1.087","1.679","1.429","2.703","1.214"
"Cens_YS85.v1.contig_638_pilon.g216210.t1","1.655","1.135","1.359","0.952","1.084","","0.906","1.717","0.108","0.952","1.033","0.108","0.997","0.627","1.348","0.893","1.270","1.698","1.362","1.348","1.108","1.355","1.013","1.410","1.346","1.717","1.362","1.695","1.348","1.396","1.022","1.357","1.031","1.686","1.069","1.661","1.411","2.685","1.196"
"Cens_YS85.v1.contig_638_pilon.g216280.t1","1.624","1.103","1.328","0.921","1.052","","0.874","1.686","0.139","0.921","1.001","0.139","0.966","0.596","1.316","0.862","1.239","1.666","1.331","1.317","1.076","1.324","0.981","1.379","1.315","1.686","1.331","1.663","1.317","1.364","0.991","1.326","1.000","1.655","1.038","1.629","1.380","2.654","1.165"
"Eind_YS44.hap1.v1.h1tg000023l.g223680.t1","1.612","1.092","1.316","0.909","1.040","0.053","0.863","1.674","0.000","0.909","0.990","","0.954","0.584","1.304","0.850","1.227","1.654","1.319","1.305","1.065","1.312","0.969","1.367","1.303","1.674","1.319","1.651","1.305","1.353","0.979","1.314","0.988","1.643","1.026","1.618","1.368","2.642","1.153"
"Cros_YS43.v1.contig_381_pilon.g159650.t1","1.612","1.092","1.316","0.909","1.040","0.053","0.863","1.674","","0.909","0.990","0.000","0.954","0.584","1.304","0.850","1.227","1.654","1.319","1.305","1.065","1.312","0.969","1.367","1.303","1.674","1.319","1.651","1.305","1.353","0.979","1.314","0.988","1.643","1.026","1.618","1.368","2.642","1.153"
"Cens_YS85.v1.contig_638_pilon.g216200.t1","1.613","1.092","1.317","0.910","1.041","","0.863","1.675","0.053","0.910","0.990","0.053","0.955","0.585","1.305","0.850","1.228","1.655","1.319","1.306","1.065","1.313","0.970","1.368","1.304","1.675","1.319","1.652","1.306","1.353","0.980","1.315","0.989","1.644","1.027","1.618","1.369","2.643","1.154"
"Cens_YS85.v1.contig_638_pilon.g216230.t1","1.535","1.014","1.239","0.832","0.963","","0.786","1.597","0.209","0.832","0.913","0.209","0.877","0.507","1.227","0.773","1.150","1.577","1.242","1.228","0.988","1.235","0.892","1.290","1.226","1.597","1.242","1.574","1.228","1.276","0.902","1.237","0.911","1.566","0.949","1.541","1.291","2.565","1.076"
"Eind_YS44.hap1.v1.h1tg000023l.g223650.t1","1.491","0.970","1.195","0.788","0.919","0.022","0.741","1.553","0.000","0.788","0.868","","0.833","0.463","1.183","0.729","1.106","1.533","1.198","1.184","0.943","1.191","0.848","1.246","1.182","1.553","1.198","1.530","1.184","1.231","0.858","1.193","0.867","1.522","0.905","1.496","1.247","2.521","1.032"
"Cros_YS43.v1.contig_381_pilon.g159680.t1","1.491","0.970","1.195","0.788","0.919","0.022","0.741","1.553","","0.788","0.868","0.000","0.833","0.463","1.183","0.729","1.106","1.533","1.198","1.184","0.943","1.191","0.848","1.246","1.182","1.553","1.198","1.530","1.184","1.231","0.858","1.193","0.867","1.522","0.905","1.496","1.247","2.521","1.032"
"Cens_YS85.v1.contig_638_pilon.g216260.t1","1.502","0.982","1.206","0.799","0.931","","0.753","1.564","0.022","0.799","0.880","0.022","0.844","0.474","1.195","0.740","1.117","1.545","1.209","1.195","0.955","1.202","0.860","1.257","1.193","1.564","1.209","1.542","1.195","1.243","0.869","1.204","0.878","1.533","0.916","1.508","1.258","2.532","1.043"
"Ctet_YS88.v1.contig_584_pilon.g144170.t1","1.899","1.379","1.603","0.281","1.328","1.010","1.150","1.961","1.021","","1.277","1.021","1.241","1.078","1.592","0.916","1.514","1.942","1.606","1.592","1.352","1.599","1.257","1.654","1.590","1.961","1.606","1.939","1.592","1.640","1.266","1.601","1.275","1.930","1.313","1.905","1.655","2.929","1.440"
"Ccajan.v1.contig_1086_pilon.g043690.t1","1.623","1.103","1.327","","1.052","0.734","0.874","1.685","0.745","0.156","1.001","0.745","0.965","0.802","1.316","0.640","1.238","1.665","1.330","1.316","1.076","1.323","0.981","1.378","1.314","1.685","1.330","1.662","1.316","1.364","0.990","1.325","0.999","1.654","1.037","1.629","1.379","2.653","1.164"
"Ctet_YS88.v1.contig_584_pilon.g144160.t1","1.648","1.128","1.352","0.101","1.077","0.759","0.899","1.710","0.770","","1.026","0.770","0.990","0.827","1.341","0.665","1.263","1.690","1.355","1.341","1.101","1.348","1.006","1.403","1.339","1.710","1.355","1.687","1.341","1.389","1.015","1.350","1.024","1.679","1.062","1.654","1.404","2.678","1.189"
"Ccajan.v1.contig_1086_pilon.g043700.t1","1.709","1.188","1.413","","1.137","0.819","0.959","1.771","0.831","0.101","1.086","0.831","1.051","0.888","1.401","0.726","1.324","1.751","1.415","1.402","1.161","1.409","1.066","1.464","1.400","1.771","1.415","1.748","1.402","1.449","1.076","1.411","1.085","1.740","1.123","1.714","1.465","2.739","1.250"
"Ctet_YS88.v1.contig_584_pilon.g144140.t1","1.643","1.123","1.347","0.000","1.072","0.754","0.894","1.706","0.765","","1.021","0.765","0.986","0.822","1.336","0.661","1.259","1.686","1.350","1.337","1.096","1.344","1.001","1.399","1.335","1.706","1.350","1.683","1.337","1.384","1.010","1.346","1.019","1.675","1.057","1.649","1.399","2.673","1.185"
"Ccajan.v1.contig_1845_pilon.g207750.t1","1.643","1.123","1.347","","1.072","0.754","0.894","1.706","0.765","0.000","1.021","0.765","0.986","0.822","1.336","0.661","1.259","1.686","1.350","1.337","1.096","1.344","1.001","1.399","1.335","1.706","1.350","1.683","1.337","1.384","1.010","1.346","1.019","1.675","1.057","1.649","1.399","2.673","1.185"
"Isuf_YS112.v1.contig_2751_pilon.g094200.t1","1.571","1.051","1.276","0.688","1.000","0.682","0.822","1.634","0.693","0.709","0.949","0.693","0.914","0.750","1.264","","1.187","1.614","1.278","1.265","1.024","1.272","0.929","1.327","1.263","1.634","1.278","1.611","1.265","1.312","0.938","1.274","0.947","1.603","0.985","1.577","1.327","2.601","1.113"
"Isuf_YS112.v1.contig_2751_pilon.g094210.t1","1.523","1.003","1.228","0.640","0.952","0.634","0.774","1.586","0.645","0.661","0.901","0.645","0.866","0.702","1.216","","1.139","1.566","1.230","1.217","0.976","1.224","0.881","1.279","1.215","1.586","1.230","1.563","1.217","1.264","0.890","1.226","0.899","1.555","0.937","1.529","1.279","2.553","1.065"
"Eind_YS44.hap1.v1.h1tg000023l.g223690.t1","1.472","0.952","1.176","0.603","0.901","0.017","0.723","1.535","0.000","0.603","0.850","","0.815","0.651","1.165","0.645","1.088","1.515","1.179","1.166","0.925","1.173","0.830","1.227","1.164","1.535","1.179","1.512","1.166","1.213","0.839","1.175","0.848","1.504","0.886","1.478","1.228","2.502","1.014"
"Cros_YS43.v1.contig_381_pilon.g159640.t1","1.472","0.952","1.176","0.603","0.901","0.017","0.723","1.535","","0.603","0.850","0.000","0.815","0.651","1.165","0.645","1.088","1.515","1.179","1.166","0.925","1.173","0.830","1.227","1.164","1.535","1.179","1.512","1.166","1.213","0.839","1.175","0.848","1.504","0.886","1.478","1.228","2.502","1.014"
"Cens_YS85.v1.contig_638_pilon.g216190.t1","1.461","0.940","1.165","0.591","0.889","","0.712","1.523","0.017","0.591","0.839","0.017","0.803","0.640","1.153","0.634","1.076","1.503","1.168","1.154","0.914","1.161","0.818","1.216","1.152","1.523","1.168","1.500","1.154","1.202","0.828","1.163","0.837","1.492","0.875","1.467","1.217","2.491","1.002"
"Ctet_YS88.v1.contig_77_pilon.g225720.t1","1.582","1.062","1.287","0.000","1.011","0.591","0.833","1.645","0.603","","0.960","0.603","0.925","0.761","1.275","0.755","1.198","1.625","1.289","1.276","1.035","1.283","0.940","1.338","1.274","1.645","1.289","1.622","1.276","1.323","0.949","1.285","0.958","1.614","0.996","1.588","1.338","2.613","1.124"
"Ccajan.v1.contig_1258_pilon.g085080.t1","1.582","1.062","1.287","","1.011","0.591","0.833","1.645","0.603","0.000","0.960","0.603","0.925","0.761","1.275","0.755","1.198","1.625","1.289","1.276","1.035","1.283","0.940","1.338","1.274","1.645","1.289","1.622","1.276","1.323","0.949","1.285","0.958","1.614","0.996","1.588","1.338","2.613","1.124"
"Gstr_YS140.v1.contig_803_pilon.g240510.t1","1.492","0.972","1.197","0.856","0.921","0.218","0.487","1.555","0.211","0.856","0.870","0.211","0.835","","1.185","0.797","1.108","1.535","1.199","1.186","0.945","1.193","0.850","1.248","1.184","1.555","1.199","1.532","1.186","1.233","0.859","1.195","0.868","1.524","0.906","1.498","1.248","2.522","1.034"
"Gstr_YS140.v1.contig_803_pilon.g240480.t1","1.477","0.957","1.181","0.841","0.906","0.203","0.471","1.539","0.196","0.841","0.855","0.196","0.820","","1.170","0.782","1.092","1.520","1.184","1.170","0.930","1.177","0.835","1.232","1.168","1.539","1.184","1.517","1.170","1.218","0.844","1.180","0.853","1.508","0.891","1.483","1.233","2.507","1.018"
"Gstr_YS140.v1.contig_802_pilon.g240470.t1","1.484","0.963","1.188","0.848","0.912","0.210","0.478","1.546","0.203","0.848","0.862","0.203","0.826","","1.176","0.789","1.099","1.526","1.191","1.177","0.937","1.184","0.841","1.239","1.175","1.546","1.191","1.523","1.177","1.225","0.851","1.186","0.860","1.515","0.898","1.489","1.240","2.514","1.025"
"Eind_YS44.hap1.v1.h1tg000023l.g223630.t1","1.465","0.945","1.170","0.829","0.894","0.009","0.460","1.528","0.000","0.829","0.843","","0.808","0.196","1.158","0.770","1.081","1.508","1.172","1.159","0.918","1.166","0.823","1.221","1.157","1.528","1.172","1.505","1.159","1.206","0.832","1.168","0.841","1.497","0.879","1.471","1.221","2.495","1.007"
"Cros_YS43.v1.contig_381_pilon.g159700.t1","1.465","0.945","1.170","0.829","0.894","0.009","0.460","1.528","","0.829","0.843","0.000","0.808","0.196","1.158","0.770","1.081","1.508","1.172","1.159","0.918","1.166","0.823","1.221","1.157","1.528","1.172","1.505","1.159","1.206","0.832","1.168","0.841","1.497","0.879","1.471","1.221","2.495","1.007"
"Cens_YS85.v1.contig_638_pilon.g216290.t1","1.472","0.952","1.177","0.836","0.901","","0.467","1.535","0.009","0.836","0.850","0.009","0.815","0.203","1.165","0.777","1.088","1.515","1.179","1.166","0.925","1.173","0.830","1.228","1.164","1.535","1.179","1.512","1.166","1.213","0.839","1.175","0.848","1.504","0.886","1.478","1.228","2.502","1.014"
"Cmolle_YS235.v1.contig_669_pilon.g213560.t1","1.469","0.949","1.174","0.833","0.898","0.467","","1.532","0.460","0.833","0.847","0.460","0.812","0.471","1.162","0.774","1.085","1.512","1.176","1.163","0.922","1.170","0.827","1.225","1.161","1.532","1.176","1.509","1.163","1.210","0.836","1.172","0.846","1.501","0.883","1.475","1.226","2.500","1.011"
"Cmolle_YS235.v1.contig_669_pilon.g213570.t1","1.490","0.970","1.195","0.854","0.919","0.488","","1.553","0.481","0.854","0.868","0.481","0.833","0.492","1.183","0.795","1.106","1.533","1.197","1.184","0.943","1.191","0.848","1.246","1.182","1.553","1.197","1.530","1.184","1.231","0.857","1.193","0.867","1.522","0.905","1.496","1.247","2.521","1.032"
"Ccin_YS129.v1.contig_1010_pilon.g007010.t1","1.668","0.349","1.372","1.095","","0.974","0.982","1.730","0.977","1.095","0.580","0.977","0.545","0.977","1.360","1.036","1.283","1.710","1.375","1.361","0.570","1.368","0.560","1.423","1.359","1.730","1.375","1.707","1.361","1.409","0.569","1.370","0.578","1.699","0.616","1.674","1.424","2.698","0.659"
"Ccin_YS129.v1.contig_1010_pilon.g006810.t1","1.643","0.324","1.348","1.071","","0.949","0.958","1.706","0.952","1.071","0.556","0.952","0.520","0.953","1.336","1.012","1.259","1.686","1.350","1.337","0.546","1.344","0.536","1.399","1.335","1.706","1.350","1.683","1.337","1.384","0.545","1.346","0.554","1.675","0.592","1.649","1.400","2.674","0.634"
"Abit_YS124.v1.contig_845_pilon.g245960.t1","1.635","","1.339","1.062","0.324","0.940","0.949","1.697","0.943","1.062","0.547","0.943","0.512","0.944","1.327","1.003","1.250","1.677","1.342","1.328","0.537","1.335","0.527","1.390","1.326","1.697","1.342","1.674","1.328","1.375","0.536","1.337","0.545","1.666","0.583","1.640","1.391","2.665","0.625"
"Ccin_YS129.v1.contig_1010_pilon.g007020.t1","1.584","0.371","1.288","1.011","","0.889","0.898","1.646","0.892","1.011","0.496","0.892","0.460","0.893","1.276","0.952","1.199","1.626","1.291","1.277","0.486","1.284","0.476","1.339","1.275","1.646","1.291","1.623","1.277","1.324","0.485","1.286","0.494","1.615","0.532","1.589","1.340","2.614","0.574"
"Vigun01g089100","1.712","0.641","1.416","1.139","0.590","1.018","1.026","1.774","1.021","1.139","0.624","1.021","0.589","1.021","1.405","1.080","1.327","1.754","1.419","1.405","0.414","1.412","0.604","1.467","1.403","1.774","1.419","1.752","1.405","1.453","0.613","1.414","0.622","1.743","0.660","1.718","1.468","2.742",""
"Vigun01g089300","1.696","0.625","1.401","1.124","0.574","1.002","1.011","1.759","1.005","1.124","0.609","1.005","0.573","1.006","1.389","1.065","1.312","1.739","1.403","1.390","0.399","1.397","0.588","1.452","1.388","1.759","1.403","1.736","1.390","1.437","0.598","1.399","0.607","1.728","0.645","1.702","1.452","2.727",""
"Maxil_YS73.v1.contig_145_pilon.g008600.t1","1.608","0.537","1.312","1.035","0.486","0.914","0.922","1.670","0.916","1.035","0.520","0.916","0.485","0.917","1.300","0.976","1.223","1.650","1.315","1.301","","1.308","0.500","1.363","1.299","1.670","1.315","1.647","1.301","1.349","0.509","1.310","0.518","1.639","0.556","1.614","1.364","2.638","0.399"
"Tunci_YS212.v1.contig_302_pilon.g189920.t1","1.569","0.583","1.273","0.996","0.532","0.875","0.883","1.631","0.878","0.996","0.454","0.878","0.330","0.878","1.262","0.937","1.184","1.612","1.276","1.262","0.556","1.269","0.400","1.324","1.260","1.631","1.276","1.609","1.262","1.310","0.443","1.272","0.331","1.600","","1.575","1.325","2.599","0.645"
"Smacrob_YS261.v1.contig_5015_pilon.g214740.t1","1.531","0.545","1.235","0.958","0.494","0.837","0.846","1.593","0.840","0.958","0.416","0.840","0.292","0.840","1.224","0.899","1.146","1.574","1.238","1.225","0.518","1.231","0.362","1.286","1.222","1.593","1.238","1.571","1.225","1.272","0.405","1.234","","1.563","0.331","1.537","1.287","2.561","0.607"
"GmISU01.19G086200.1","1.497","0.512","1.202","0.925","0.460","0.803","0.812","1.560","0.806","0.925","0.383","0.806","","0.807","1.190","0.866","1.113","1.540","1.204","1.191","0.485","1.198","0.328","1.253","1.189","1.560","1.204","1.537","1.191","1.238","0.372","1.200","0.292","1.529","0.330","1.503","1.254","2.528","0.573"
"Mpru_YS155.v1.contig_156_pilon.g045520.t1","1.524","0.538","1.228","0.951","0.487","0.830","0.838","1.586","0.832","0.951","0.409","0.832","0.339","0.833","1.216","0.892","1.139","1.566","1.231","1.217","0.511","1.224","","1.279","1.215","1.586","1.231","1.563","1.217","1.264","0.398","1.226","0.373","1.555","0.411","1.529","1.280","2.554","0.600"
"Mpru_YS155.v1.contig_156_pilon.g045510.t1","1.513","0.527","1.217","0.940","0.476","0.818","0.827","1.575","0.821","0.940","0.398","0.821","0.328","0.822","1.205","0.881","1.128","1.555","1.220","1.206","0.500","1.213","","1.268","1.204","1.575","1.220","1.552","1.206","1.253","0.387","1.215","0.362","1.544","0.400","1.518","1.269","2.543","0.588"
"Rmin_YS79.v1.contig_758_pilon.g269700.t1","1.522","0.536","1.226","0.949","0.485","0.828","0.836","1.584","0.831","0.949","0.128","0.831","0.372","0.831","1.215","0.890","1.137","1.565","1.229","1.215","0.509","1.222","0.387","1.277","1.213","1.584","1.229","1.562","1.215","1.263","","1.224","0.405","1.553","0.443","1.528","1.278","2.552","0.598"
"Duni_YS76.v1.contig_679_pilon.g227180.t1","1.533","0.547","1.237","0.960","0.496","0.839","0.847","1.595","0.841","0.960","","0.841","0.383","0.842","1.225","0.901","1.148","1.575","1.240","1.226","0.520","1.233","0.398","1.288","1.224","1.595","1.240","1.572","1.226","1.273","0.128","1.235","0.416","1.564","0.454","1.538","1.289","2.563","0.609"
"Pmonvarlob_YS172.hap1.v1.h1tg000006l.g141420.t1","1.098","0.991","0.369","0.968","0.947","0.685","0.694","0.803","0.687","0.968","0.632","0.687","0.531","0.711","0.620","0.763","0.729","0.520","0.195","0.000","0.629","0.064","0.459","0.427","0.477","0.804","0.193","0.387","","0.427","0.643","0.600","0.350","0.386","0.398","0.208","0.611","2.932","0.214"
"Matro_YS75.v1.contig_303_pilon.g120830.t1","1.098","0.991","0.369","0.968","0.947","0.685","0.694","0.803","0.687","0.968","0.632","0.687","0.531","0.711","0.620","0.763","0.729","0.520","0.195","","0.629","0.064","0.459","0.427","0.477","0.804","0.193","0.387","0.000","0.427","0.643","0.600","0.350","0.386","0.398","0.208","0.611","2.932","0.214"
"Mlat_YS84.v1.contig_107_pilon.g004880.t1","1.095","0.988","0.365","0.965","0.944","0.681","0.690","0.800","0.684","0.965","0.628","0.684","0.528","0.708","0.616","0.759","0.726","0.516","0.191","0.064","0.625","","0.455","0.424","0.473","0.800","0.190","0.383","0.064","0.424","0.639","0.596","0.346","0.382","0.395","0.204","0.608","2.928","0.211"
"Vvexilla_YS115.hap1.v1.h1tg000016l.g247740.t1","1.098","0.991","0.369","0.968","0.947","0.685","0.694","0.803","0.687","0.968","0.632","0.687","0.531","0.711","0.620","0.763","0.729","0.520","0.195","0.208","0.629","0.204","0.459","0.427","0.477","0.804","0.193","0.387","0.208","0.427","0.643","0.600","0.350","0.386","0.398","","0.611","2.932","0.056"
"Vigun07g219700","1.105","0.998","0.375","0.975","0.954","0.691","0.700","0.810","0.694","0.975","0.638","0.694","0.538","0.718","0.626","0.769","0.736","0.526","0.201","0.214","0.635","0.211","0.465","0.434","0.483","0.810","0.200","0.393","0.214","0.434","0.649","0.606","0.356","0.392","0.405","0.056","0.618","2.938",""
"Plun_YS103.v1.contig_1385_pilon.g106050.t1","1.030","0.923","0.301","0.900","0.879","0.617","0.626","0.735","0.619","0.900","0.564","0.619","0.463","0.643","0.552","0.695","0.661","0.452","0.001","0.193","0.561","0.190","0.391","0.359","0.409","0.736","","0.319","0.193","0.359","0.575","0.532","0.282","0.318","0.330","0.193","0.543","2.864","0.200"
"Lpur_YS149.v1.contig_12_pilon.g064440.t1","1.032","0.924","0.302","0.901","0.880","0.618","0.627","0.736","0.620","0.901","0.565","0.620","0.465","0.644","0.553","0.696","0.662","0.453","","0.195","0.562","0.191","0.392","0.361","0.410","0.737","0.001","0.320","0.195","0.361","0.576","0.533","0.283","0.319","0.332","0.195","0.544","2.865","0.201"
"Smacrob_YS261.v1.contig_3727_pilon.g131360.t1","0.981","0.873","0.251","0.850","0.829","0.567","0.576","0.685","0.569","0.850","0.514","0.569","0.414","0.593","0.502","0.645","0.611","0.402","0.283","0.350","0.511","0.346","0.341","0.310","0.359","0.686","0.282","0.269","0.350","0.310","0.525","0.482","","0.268","0.281","0.350","0.493","2.814","0.356"
"Smacrob_YS261.v1.contig_3727_pilon.g131370.t1","0.988","0.880","0.258","0.857","0.836","0.574","0.583","0.692","0.576","0.857","0.521","0.576","0.421","0.600","0.509","0.652","0.618","0.409","0.290","0.357","0.518","0.353","0.348","0.317","0.366","0.693","0.289","0.276","0.357","0.317","0.532","0.489","","0.275","0.288","0.357","0.500","2.821","0.363"
"Pmon_YS87.hap1.v1.h1tg000128l.g183820.t1","0.961","0.854","0.029","0.831","0.810","0.547","0.556","0.666","0.550","0.831","0.494","0.550","0.394","0.574","0.482","0.625","0.591","0.382","0.320","0.387","0.491","0.383","0.321","0.281","0.331","0.666","0.319","","0.387","0.281","0.505","0.462","0.269","0.202","0.214","0.387","0.474","2.794","0.393"
"Pmon_YS87.hap1.v1.h1tg001224l.g561830.t1","0.970","0.863","0.038","0.840","0.819","0.556","0.566","0.675","0.559","0.840","0.503","0.559","0.403","0.583","0.492","0.635","0.601","0.392","0.329","0.396","0.501","0.393","0.331","0.291","0.340","0.676","0.328","","0.396","0.291","0.515","0.471","0.278","0.211","0.224","0.396","0.483","2.803","0.403"
"Cang_YS89.v1.contig_2016_pilon.g195120.t1","0.943","0.836","","0.813","0.792","0.529","0.538","0.648","0.532","0.813","0.476","0.532","0.376","0.556","0.464","0.607","0.574","0.364","0.302","0.369","0.473","0.365","0.303","0.263","0.313","0.648","0.301","0.029","0.369","0.263","0.487","0.444","0.251","0.184","0.196","0.369","0.456","2.776","0.375"
"Cang_YS89.v1.contig_2016_pilon.g195110.t1","0.985","0.878","","0.855","0.834","0.571","0.580","0.690","0.574","0.855","0.518","0.574","0.418","0.598","0.506","0.649","0.616","0.406","0.344","0.411","0.515","0.407","0.345","0.305","0.355","0.690","0.343","0.111","0.411","0.305","0.529","0.486","0.293","0.226","0.238","0.411","0.498","2.818","0.417"
"Tunci_YS212.v1.contig_113_pilon.g012260.t1","0.973","0.866","0.196","0.842","0.821","0.559","0.568","0.677","0.561","0.842","0.506","0.561","0.406","0.585","0.494","0.637","0.603","0.394","0.332","0.398","0.503","0.395","0.333","0.293","0.342","0.678","0.330","0.214","0.398","0.293","0.517","0.474","0.281","0.026","","0.398","0.485","2.806","0.405"
"Tlab_YS204.v1.contig_247_pilon.g0482890.t1","0.960","0.853","0.184","0.830","0.809","0.546","0.555","0.665","0.549","0.830","0.493","0.549","0.393","0.573","0.481","0.624","0.591","0.381","0.319","0.386","0.490","0.382","0.320","0.280","0.330","0.665","0.318","0.202","0.386","0.280","0.504","0.461","0.268","","0.026","0.386","0.473","2.793","0.392"
"Ptet_YS159.v1.contig_415_pilon.g120490.t1","1.002","0.895","0.263","0.871","0.850","0.588","0.597","0.706","0.590","0.871","0.535","0.590","0.435","0.614","0.523","0.666","0.632","0.423","0.361","0.427","0.532","0.424","0.362","0.000","0.049","0.707","0.359","0.281","0.427","","0.546","0.503","0.310","0.280","0.293","0.427","0.514","2.835","0.434"
"Msam_YS158.v1.contig_690.g156650.t1","1.002","0.895","0.263","0.871","0.850","0.588","0.597","0.706","0.590","0.871","0.535","0.590","0.435","0.614","0.523","0.666","0.632","0.423","0.361","0.427","0.532","0.424","0.362","","0.049","0.707","0.359","0.281","0.427","0.000","0.546","0.503","0.310","0.280","0.293","0.427","0.514","2.835","0.434"
"Pero_YS156.v1.contig_2283_pilon.g174070.t1","1.051","0.944","0.313","0.921","0.900","0.637","0.646","0.756","0.640","0.921","0.584","0.640","0.484","0.664","0.572","0.715","0.682","0.472","0.410","0.477","0.581","0.473","0.411","0.049","","0.756","0.409","0.331","0.477","0.049","0.595","0.552","0.359","0.330","0.342","0.477","0.564","2.884","0.483"
"Pmonvarlob_YS172.hap1.v1.h1tg000006l.g141430.t1","1.056","0.949","0.401","0.925","0.904","0.642","0.651","0.760","0.644","0.925","0.589","0.644","0.489","0.668","0.577","0.720","0.686","0.477","0.134","0.000","0.586","0.047","0.354","0.521","0.570","0.761","0.131","0.480","","0.521","0.600","0.090","0.499","0.479","0.473","0.160","0.119","2.889","0.162"
"Matro_YS75.v1.contig_303_pilon.g120820.t1","1.056","0.949","0.401","0.925","0.904","0.642","0.651","0.760","0.644","0.925","0.589","0.644","0.489","0.668","0.577","0.720","0.686","0.477","0.134","","0.586","0.047","0.354","0.521","0.570","0.761","0.131","0.480","0.000","0.521","0.600","0.090","0.499","0.479","0.473","0.160","0.119","2.889","0.162"
"Mlat_YS84.v1.contig_107_pilon.g004870.t1","1.045","0.938","0.390","0.914","0.893","0.631","0.640","0.750","0.633","0.914","0.578","0.633","0.478","0.657","0.566","0.709","0.675","0.466","0.123","0.047","0.575","","0.343","0.510","0.559","0.750","0.120","0.469","0.047","0.510","0.589","0.079","0.489","0.468","0.462","0.149","0.108","2.878","0.151"
"Shelov_YS99.v1.contig_87_pilon.g255290.t1","1.038","0.931","0.383","0.908","0.887","0.624","0.633","0.743","0.627","0.908","0.571","0.627","0.471","0.651","0.559","0.702","0.668","0.459","0.116","0.090","0.568","0.079","0.336","0.503","0.552","0.743","0.114","0.462","0.090","0.503","0.582","","0.482","0.461","0.456","0.142","0.102","2.871","0.144"
"Phvul.007G077500","1.049","0.942","0.394","0.919","0.898","0.636","0.645","0.754","0.638","0.919","0.583","0.638","0.482","0.662","0.571","0.714","0.680","0.471","0.127","0.119","0.580","0.108","0.348","0.514","0.564","0.755","0.125","0.474","0.119","0.514","0.594","0.102","0.493","0.473","0.467","0.153","","2.883","0.156"
